id,sno,state,city,format_type,store_code,store_name,company_name,gst_in,state_code,address,superwisor,coordinator,afm,ship_ddress,ship_name,ship_state,ship_gst,costcenter
,134,Telangana,Nizamabad,Trends Small Town,TV40,Armoor Jeevan Reddy mall,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"D.no.116/1,Sy No:401/141,Jeevan Reddy Mall,Bus Depot Area, Armoor Town % Mandal,Nizamabad, Telangana-503224",V. Ajay,V. Ajay,Jakku. Shankar,"D.no.116/1,Sy No:401/141,Jeevan Reddy Mall,Bus Depot Area, Armoor Town % Mandal,Nizamabad, Telangana-503224",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Nizamabad
,135,Telangana,Nizamabad,John player,TVY0,Venu Mall,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"RRL John Players Nizamabad Venu Mall,Reliance Retail Limited,Sy No 223 H No 5 6 661 Shop No 07,Situated In Nizamabad City Corporation,Mandal & District,NIZAMABAD-503001",Karpe Srinivas,Karpe Srinivas,Jakku. Shankar,"RRL John Players Nizamabad Venu Mall,Reliance Retail Limited,Sy No 223 H No 5 6 661 Shop No 07,Situated In Nizamabad City Corporation,Mandal & District,NIZAMABAD-503001",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Nizamabad
,136,Telangana,Adilabad,Trends,TW87,Adilabad,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"H No 3-2-29/15/B1, AMBEDKAR CHOWK ADILABAD TOWN, ADILABAD MANDAL & DISTRICT, 504001",V. Ajay,V. Ajay,Jakku. Shankar,"H No 3-2-29/15/B1, AMBEDKAR CHOWK ADILABAD TOWN, ADILABAD MANDAL & DISTRICT, 504001",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Adilabad
,137,Telangana,Nizamabad,Trends Footwear,TWXB,Armore,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"RRL TF Jeevan Reddy Mall,Reliance Retail Limited,Hnos 1 1 6/1 To 17Covered By Sy Nos 401/Situated At Bus Depot Area Armoor Town & Mandal 503224 ARMOOR",V. Ajay,V. Ajay,Jakku. Shankar,"RRL TF Jeevan Reddy Mall,Reliance Retail Limited,Hnos 1 1 6/1 To 17Covered By Sy Nos 401/Situated At Bus Depot Area Armoor Town & Mandal 503224 ARMOOR",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Nizamabad
,138,Telangana,Nirmal,Trends Small Town,TX5C,Kondamallepally/BHENISA,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"To Relinace Trends, 4-3-58/17,Shivaji Chowk,Opposite to Sangeetha mobiles,Town: Bhainsa,Dist Nirmal,Pin code :504103",V. Ajay,V. Ajay,Jakku. Shankar,"To Relinace Trends, 4-3-58/17,Shivaji Chowk,Opposite to Sangeetha mobiles,Town: Bhainsa,Dist Nirmal,Pin code :504103",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Nirmal
,139,Telangana,Kamareddy,Digital,TY90,Kamareddy,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"RRL CDIT-Beside Muncipal office NH,Reliance retail limited,GF FF and Second floor No H no 5-4-123,ward no.29,Beside Municipal office NH7 road,Kmareddy-503111",V. Ajay,V. Ajay,Jakku. Shankar,"RRL CDIT-Beside Muncipal office NH,Reliance retail limited,GF FF and Second floor No H no 5-4-123,ward no.29,Beside Municipal office NH7 road,Kmareddy-503111",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Kamareddy
,140,Telangana,Nizamabad,Kalanikethan,TY9N,Nizamabad,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"KFPL Nizamabad VRK Silks,Reliance Retail Limited,Municipal No 1 8 100 1 8 100/A 1 8 140,1 8 142 & 1 8 141 Hyderabad Road,Opp Vamshi International Phulong,Seripur-503003",Karpe Srinivas,Karpe Srinivas,Jakku. Shankar,"KFPL Nizamabad VRK Silks,Reliance Retail Limited,Municipal No 1 8 100 1 8 100/A 1 8 140,1 8 142 & 1 8 141 Hyderabad Road,Opp Vamshi International Phulong,Seripur-503003",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Nizamabad
,141,Telangana,Nizamabad,Smart Bazaar,TZB6,"Srinivasa function hall, banswada",Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"Reliance Smart Bearing No 1 1 83/26/1, Situated In Banswada Village &, Mandal & Nizamabad District 503187",Karpe Srinivas,Karpe Srinivas,Jakku. Shankar,"Reliance Smart Bearing No 1 1 83/26/1, Situated In Banswada Village &, Mandal & Nizamabad District 503187",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Nizamabad
,142,Telangana,Nizamabad,Smart Point,U3DP,SMD Complex Varni,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,S M D Complex Plot No 4 And 5 Sy No 2499 A Opposite Sbi Bank Ambedkar Chowrasta Varni Nizamabad VARNI 503201 Telangana,Karpe Srinivas,Karpe Srinivas,Jakku. Shankar,S M D Complex Plot No 4 And 5 Sy No 2499 A Opposite Sbi Bank Ambedkar Chowrasta Varni Nizamabad VARNI 503201 Telangana,Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Nizamabad
,143,Telangana,Nirmal,Smart Point,U3WO,Priyadarshini nagar/Nirmal,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"SP Nirmal Town, Gf Plot No 17, Sy N 1919 , Nirmal Town Mandal, Dis Adilabad, 504106",V. Ajay,V. Ajay,Jakku. Shankar,"SP Nirmal Town, Gf Plot No 17, Sy N 1919 , Nirmal Town Mandal, Dis Adilabad, 504106",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Nirmal
